year,category,value
2024,Abduction,0
2024,Arson,13
2024,Assault with the intent to inflict grievous bodily harm,170
2024,Attempted murder,65
2024,Attempted sexual offences,10
2024,Bank robbery,0
2024,Burglary at non-residential premises,76
2024,Burglary at residential premises,207
2024,Carjacking,214
2024,Commercial crime,222
2024,Common assault,689
2024,Common robbery,101
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,169
2024,Drug-related crime,376
2024,Illegal possession of firearms and ammunition,33
2024,Kidnapping,28
2024,Malicious damage to property,302
2024,Murder,108
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,94
2024,Robbery at non-residential premises,18
2024,Robbery at residential premises,101
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,758
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,16
2024,Shoplifting,119
2024,Stock-theft,0
2024,Street Robbery,333
2024,TRIO crimes,333
2024,Theft of motor vehicle and motorcycle,72
2024,Theft out of or from motor vehicle,98
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,13
2023,Assault with the intent to inflict grievous bodily harm,188
2023,Attempted murder,54
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,75
2023,Burglary at residential premises,205
2023,Carjacking,164
2023,Commercial crime,153
2023,Common assault,641
2023,Common robbery,105
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,91
2023,Drug-related crime,286
2023,Illegal possession of firearms and ammunition,42
2023,Kidnapping,27
2023,Malicious damage to property,306
2023,Murder,104
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,108
2023,Robbery at non-residential premises,46
2023,Robbery at residential premises,87
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,648
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,19
2023,Shoplifting,103
2023,Stock-theft,0
2023,Street Robbery,350
2023,TRIO crimes,297
2023,Theft of motor vehicle and motorcycle,61
2023,Theft out of or from motor vehicle,83
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,16
2022,Assault with the intent to inflict grievous bodily harm,140
2022,Attempted murder,54
2022,Attempted sexual offences,8
2022,Bank robbery,0
2022,Burglary at non-residential premises,68
2022,Burglary at residential premises,181
2022,Carjacking,134
2022,Commercial crime,173
2022,Common assault,554
2022,Common robbery,97
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
