year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,275
2024,Attempted murder,19
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,31
2024,Burglary at residential premises,214
2024,Carjacking,14
2024,Commercial crime,107
2024,Common assault,501
2024,Common robbery,61
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,42
2024,Drug-related crime,111
2024,Illegal possession of firearms and ammunition,10
2024,Kidnapping,5
2024,Malicious damage to property,279
2024,Murder,20
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,33
2024,Robbery at non-residential premises,13
2024,Robbery at residential premises,8
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,136
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,26
2024,Shoplifting,71
2024,Stock-theft,0
2024,Street Robbery,36
2024,TRIO crimes,35
2024,Theft of motor vehicle and motorcycle,8
2024,Theft out of or from motor vehicle,91
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,292
2023,Attempted murder,19
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,24
2023,Burglary at residential premises,169
2023,Carjacking,16
2023,Commercial crime,69
2023,Common assault,389
2023,Common robbery,78
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,39
2023,Drug-related crime,214
2023,Illegal possession of firearms and ammunition,12
2023,Kidnapping,4
2023,Malicious damage to property,298
2023,Murder,19
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,39
2023,Robbery at non-residential premises,17
2023,Robbery at residential premises,9
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,133
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,10
2023,Shoplifting,53
2023,Stock-theft,4
2023,Street Robbery,89
2023,TRIO crimes,42
2023,Theft of motor vehicle and motorcycle,16
2023,Theft out of or from motor vehicle,88
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,268
2022,Attempted murder,11
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,26
2022,Burglary at residential premises,189
2022,Carjacking,12
2022,Commercial crime,71
2022,Common assault,314
2022,Common robbery,41
2022,Contact sexual offences,2
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,31
2022,Drug-related crime,212
2022,Illegal possession of firearms and ammunition,10
2022,Kidnapping,8
2022,Malicious damage to property,255
2022,Murder,18
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,27
2022,Robbery at non-residential premises,14
2022,Robbery at residential premises,5
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,111
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,14
2022,Shoplifting,26
2022,Stock-theft,0
2022,Street Robbery,78
2022,TRIO crimes,31
2022,Theft of motor vehicle and motorcycle,14
2022,Theft out of or from motor vehicle,70
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,5
2021,Assault with the intent to inflict grievous bodily harm,197
2021,Attempted murder,13
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,26
2021,Burglary at residential premises,137
2021,Carjacking,6
2021,Commercial crime,40
2021,Common assault,281
2021,Common robbery,35
2021,Contact sexual offences,2
2021,Crimen Injuria,34
2021,Culpable homicide,12
2021,Driving under the influence of alcohol or drugs,20
2021,Drug-related crime,99
2021,Illegal possession of firearms and ammunition,11
2021,Kidnapping,0
2021,Malicious damage to property,189
2021,Murder,13
2021,Neglect and ill-treatment of children,1
2021,Public violence,5
2021,Rape,31
2021,Robbery at non-residential premises,14
2021,Robbery at residential premises,7
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,71
2021,Sexual Offences detected as a result of police action,2
2021,Sexual assault,16
2021,Shoplifting,26
2021,Stock-theft,3
2021,Street Robbery,43
2021,TRIO crimes,27
2021,Theft of motor vehicle and motorcycle,8
2021,Theft out of or from motor vehicle,51
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,261
2020,Attempted murder,8
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,26
2020,Burglary at residential premises,281
2020,Carjacking,6
2020,Commercial crime,36
2020,Common assault,389
2020,Common robbery,68
2020,Contact sexual offences,1
2020,Crimen Injuria,58
2020,Culpable homicide,13
2020,Driving under the influence of alcohol or drugs,62
2020,Drug-related crime,151
2020,Illegal possession of firearms and ammunition,11
