year,category,value
2024,Abduction,0
2024,Arson,11
2024,Assault with the intent to inflict grievous bodily harm,220
2024,Attempted murder,147
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,81
2024,Burglary at residential premises,265
2024,Carjacking,38
2024,Commercial crime,75
2024,Common assault,571
2024,Common robbery,82
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,103
2024,Drug-related crime,1867
2024,Illegal possession of firearms and ammunition,153
2024,Kidnapping,10
2024,Malicious damage to property,505
2024,Murder,109
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,46
2024,Robbery at non-residential premises,15
2024,Robbery at residential premises,15
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,252
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,29
2024,Shoplifting,51
2024,Stock-theft,0
2024,Street Robbery,71
2024,TRIO crimes,68
2024,Theft of motor vehicle and motorcycle,47
2024,Theft out of or from motor vehicle,142
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,10
2023,Assault with the intent to inflict grievous bodily harm,244
2023,Attempted murder,122
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,62
2023,Burglary at residential premises,313
2023,Carjacking,15
2023,Commercial crime,64
2023,Common assault,704
2023,Common robbery,80
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,132
2023,Drug-related crime,1847
2023,Illegal possession of firearms and ammunition,125
2023,Kidnapping,6
2023,Malicious damage to property,497
2023,Murder,80
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,73
2023,Robbery at non-residential premises,17
2023,Robbery at residential premises,21
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,223
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,40
2023,Shoplifting,25
2023,Stock-theft,0
2023,Street Robbery,169
2023,TRIO crimes,53
2023,Theft of motor vehicle and motorcycle,49
2023,Theft out of or from motor vehicle,182
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,192
2022,Attempted murder,137
2022,Attempted sexual offences,6
2022,Bank robbery,0
2022,Burglary at non-residential premises,64
2022,Burglary at residential premises,235
2022,Carjacking,24
2022,Commercial crime,97
2022,Common assault,592
2022,Common robbery,70
2022,Contact sexual offences,10
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,68
2022,Drug-related crime,1351
2022,Illegal possession of firearms and ammunition,107
2022,Kidnapping,15
2022,Malicious damage to property,521
2022,Murder,87
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,62
2022,Robbery at non-residential premises,18
2022,Robbery at residential premises,15
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,237
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,48
2022,Shoplifting,45
2022,Stock-theft,0
2022,Street Robbery,179
2022,TRIO crimes,57
2022,Theft of motor vehicle and motorcycle,78
2022,Theft out of or from motor vehicle,142
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,11
2021,Assault with the intent to inflict grievous bodily harm,222
2021,Attempted murder,159
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,77
2021,Burglary at residential premises,245
2021,Carjacking,27
2021,Commercial crime,57
2021,Common assault,516
2021,Common robbery,82
2021,Contact sexual offences,3
2021,Crimen Injuria,113
2021,Culpable homicide,12
2021,Driving under the influence of alcohol or drugs,30
2021,Drug-related crime,710
2021,Illegal possession of firearms and ammunition,99
2021,Kidnapping,11
2021,Malicious damage to property,435
2021,Murder,93
2021,Neglect and ill-treatment of children,8
2021,Public violence,7
2021,Rape,55
2021,Robbery at non-residential premises,13
2021,Robbery at residential premises,10
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,241
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,30
2021,Shoplifting,16
2021,Stock-theft,1
2021,Street Robbery,187
2021,TRIO crimes,50
2021,Theft of motor vehicle and motorcycle,72
2021,Theft out of or from motor vehicle,176
2021,Truck hijacking,4
2020,Abduction,0
2020,Arson,12
2020,Assault with the intent to inflict grievous bodily harm,216
2020,Attempted murder,121
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,100
2020,Burglary at residential premises,283
2020,Carjacking,54
2020,Commercial crime,43
2020,Common assault,578
2020,Common robbery,125
2020,Contact sexual offences,3
2020,Crimen Injuria,132
2020,Culpable homicide,20
2020,Driving under the influence of alcohol or drugs,216
2020,Drug-related crime,906
2020,Illegal possession of firearms and ammunition,99
2020,Kidnapping,16
2020,Malicious damage to property,558
2020,Murder,60
2020,Neglect and ill-treatment of children,9
2020,Public violence,2
2020,Rape,55
2020,Robbery at non-residential premises,24
2020,Robbery at residential premises,20
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,314
2020,Sexual Offences detected as a result of police action,2
2020,Sexual assault,50
2020,Shoplifting,28
2020,Stock-theft,0
2020,Street Robbery,214
2020,TRIO crimes,98
2020,Theft of motor vehicle and motorcycle,85
2020,Theft out of or from motor vehicle,187
2020,Truck hijacking,1
2019,Abduction,1
2019,Arson,11
2019,Assault with the intent to inflict grievous bodily harm,238
2019,Attempted murder,111
2019,Attempted sexual offences,5
2019,Bank robbery,0
2019,Burglary at non-residential premises,107
2019,Burglary at residential premises,273
2019,Carjacking,33
2019,Commercial crime,42
2019,Common assault,598
2019,Common robbery,101
2019,Contact sexual offences,6
