year,category,value
2024,Abduction,0
2024,Arson,8
2024,Assault with the intent to inflict grievous bodily harm,242
2024,Attempted murder,39
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,116
2024,Burglary at residential premises,365
2024,Carjacking,62
2024,Commercial crime,684
2024,Common assault,483
2024,Common robbery,230
2024,Contact sexual offences,6
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,95
2024,Drug-related crime,491
2024,Illegal possession of firearms and ammunition,17
2024,Kidnapping,40
2024,Malicious damage to property,266
2024,Murder,83
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,98
2024,Robbery at non-residential premises,27
2024,Robbery at residential premises,46
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,644
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,13
2024,Shoplifting,327
2024,Stock-theft,0
2024,Street Robbery,137
2024,TRIO crimes,135
2024,Theft of motor vehicle and motorcycle,165
2024,Theft out of or from motor vehicle,398
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,271
2023,Attempted murder,46
2023,Attempted sexual offences,9
2023,Bank robbery,0
2023,Burglary at non-residential premises,108
2023,Burglary at residential premises,375
2023,Carjacking,59
2023,Commercial crime,650
2023,Common assault,541
2023,Common robbery,188
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,151
2023,Drug-related crime,445
2023,Illegal possession of firearms and ammunition,18
2023,Kidnapping,53
2023,Malicious damage to property,315
2023,Murder,66
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,88
2023,Robbery at non-residential premises,26
2023,Robbery at residential premises,55
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,577
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,19
2023,Shoplifting,358
2023,Stock-theft,1
2023,Street Robbery,436
2023,TRIO crimes,140
2023,Theft of motor vehicle and motorcycle,163
2023,Theft out of or from motor vehicle,407
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,264
2022,Attempted murder,47
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,165
2022,Burglary at residential premises,275
2022,Carjacking,47
2022,Commercial crime,496
2022,Common assault,470
2022,Common robbery,142
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,75
2022,Drug-related crime,713
2022,Illegal possession of firearms and ammunition,25
2022,Kidnapping,38
2022,Malicious damage to property,296
2022,Murder,63
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,84
2022,Robbery at non-residential premises,36
2022,Robbery at residential premises,62
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,426
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,15
2022,Shoplifting,326
2022,Stock-theft,0
2022,Street Robbery,281
2022,TRIO crimes,145
2022,Theft of motor vehicle and motorcycle,180
2022,Theft out of or from motor vehicle,329
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,5
2021,Assault with the intent to inflict grievous bodily harm,204
2021,Attempted murder,31
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,150
2021,Burglary at residential premises,329
2021,Carjacking,58
2021,Commercial crime,440
2021,Common assault,452
2021,Common robbery,120
2021,Contact sexual offences,5
2021,Crimen Injuria,53
2021,Culpable homicide,12
2021,Driving under the influence of alcohol or drugs,38
2021,Drug-related crime,483
2021,Illegal possession of firearms and ammunition,48
2021,Kidnapping,24
2021,Malicious damage to property,292
2021,Murder,73
2021,Neglect and ill-treatment of children,5
2021,Public violence,43
2021,Rape,71
2021,Robbery at non-residential premises,35
2021,Robbery at residential premises,65
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,405
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,14
2021,Shoplifting,361
2021,Stock-theft,0
2021,Street Robbery,242
2021,TRIO crimes,158
2021,Theft of motor vehicle and motorcycle,141
2021,Theft out of or from motor vehicle,346
2021,Truck hijacking,5
2020,Abduction,0
2020,Arson,9
2020,Assault with the intent to inflict grievous bodily harm,322
2020,Attempted murder,44
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,172
2020,Burglary at residential premises,564
2020,Carjacking,75
2020,Commercial crime,514
2020,Common assault,515
2020,Common robbery,191
2020,Contact sexual offences,7
2020,Crimen Injuria,64
2020,Culpable homicide,12
2020,Driving under the influence of alcohol or drugs,107
2020,Drug-related crime,217
2020,Illegal possession of firearms and ammunition,48
2020,Kidnapping,13
2020,Malicious damage to property,326
2020,Murder,67
2020,Neglect and ill-treatment of children,4
2020,Public violence,24
2020,Rape,62
2020,Robbery at non-residential premises,49
2020,Robbery at residential premises,86
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,588
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,34
2020,Shoplifting,509
2020,Stock-theft,0
2020,Street Robbery,376
2020,TRIO crimes,210
2020,Theft of motor vehicle and motorcycle,202
2020,Theft out of or from motor vehicle,493
2020,Truck hijacking,1
2019,Abduction,3
2019,Arson,6
2019,Assault with the intent to inflict grievous bodily harm,356
2019,Attempted murder,30
2019,Attempted sexual offences,6
2019,Bank robbery,0
2019,Burglary at non-residential premises,180
2019,Burglary at residential premises,681
2019,Carjacking,65
2019,Commercial crime,558
2019,Common assault,544
2019,Common robbery,139
2019,Contact sexual offences,10
2019,Crimen Injuria,68
2019,Culpable homicide,18
2019,Driving under the influence of alcohol or drugs,106
2019,Drug-related crime,365
2019,Illegal possession of firearms and ammunition,40
2019,Kidnapping,24
2019,Malicious damage to property,349
2019,Murder,53
2019,Neglect and ill-treatment of children,11
2019,Public violence,13
2019,Rape,56
2019,Robbery at non-residential premises,71
2019,Robbery at residential premises,86
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,600
2019,Sexual Offences detected as a result of police action,1
2019,Sexual assault,21
2019,Shoplifting,403
2019,Stock-theft,1
2019,Street Robbery,377
2019,TRIO crimes,222
2019,Theft of motor vehicle and motorcycle,240
2019,Theft out of or from motor vehicle,573
2019,Truck hijacking,1
2018,Abduction,0
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,281
2018,Attempted murder,34
2018,Attempted sexual offences,3
2018,Bank robbery,0
2018,Burglary at non-residential premises,255
2018,Burglary at residential premises,666
2018,Carjacking,68
2018,Commercial crime,528
2018,Common assault,579
2018,Common robbery,206
2018,Contact sexual offences,1
2018,Crimen Injuria,54
2018,Culpable homicide,8
2018,Driving under the influence of alcohol or drugs,148
2018,Drug-related crime,938
2018,Illegal possession of firearms and ammunition,26
2018,Kidnapping,20
2018,Malicious damage to property,372
2018,Murder,55
2018,Neglect and ill-treatment of children,10
2018,Public violence,29
2018,Rape,58
2018,Robbery at non-residential premises,85
2018,Robbery at residential premises,88
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,660
2018,Sexual Offences detected as a result of police action,1
2018,Sexual assault,22
2018,Shoplifting,411
2018,Stock-theft,0
2018,Street Robbery,417
2018,TRIO crimes,241
2018,Theft of motor vehicle and motorcycle,242
2018,Theft out of or from motor vehicle,557
2018,Truck hijacking,2
2017,Abduction,4
2017,Arson,9
2017,Assault with the intent to inflict grievous bodily harm,296
2017,Attempted murder,29
2017,Attempted sexual offences,5
2017,Bank robbery,0
2017,Burglary at non-residential premises,270
2017,Burglary at residential premises,717
