year,category,value
2024,Abduction,0
2024,Arson,18
2024,Assault with the intent to inflict grievous bodily harm,565
2024,Attempted murder,126
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,17
2024,Burglary at residential premises,212
2024,Carjacking,338
2024,Commercial crime,166
2024,Common assault,897
2024,Common robbery,609
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,137
2024,Drug-related crime,1480
2024,Illegal possession of firearms and ammunition,76
2024,Kidnapping,26
2024,Malicious damage to property,802
2024,Murder,269
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,149
2024,Robbery at non-residential premises,17
2024,Robbery at residential premises,98
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,1400
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,36
2024,Shoplifting,38
2024,Stock-theft,0
2024,Street Robbery,456
2024,TRIO crimes,453
2024,Theft of motor vehicle and motorcycle,62
2024,Theft out of or from motor vehicle,126
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,27
2023,Assault with the intent to inflict grievous bodily harm,637
2023,Attempted murder,110
2023,Attempted sexual offences,12
2023,Bank robbery,0
2023,Burglary at non-residential premises,18
2023,Burglary at residential premises,270
2023,Carjacking,501
2023,Commercial crime,114
2023,Common assault,827
2023,Common robbery,522
2023,Contact sexual offences,5
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,85
2023,Drug-related crime,1399
2023,Illegal possession of firearms and ammunition,101
2023,Kidnapping,30
2023,Malicious damage to property,739
2023,Murder,235
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,157
2023,Robbery at non-residential premises,33
2023,Robbery at residential premises,131
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,1534
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,26
2023,Shoplifting,54
2023,Stock-theft,0
2023,Street Robbery,864
2023,TRIO crimes,665
