year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,213
2024,Attempted murder,78
2024,Attempted sexual offences,7
2024,Bank robbery,0
2024,Burglary at non-residential premises,16
2024,Burglary at residential premises,100
2024,Carjacking,298
2024,Commercial crime,70
2024,Common assault,377
2024,Common robbery,191
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,76
2024,Drug-related crime,311
2024,Illegal possession of firearms and ammunition,39
2024,Kidnapping,17
2024,Malicious damage to property,399
2024,Murder,165
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,79
2024,Robbery at non-residential premises,16
2024,Robbery at residential premises,100
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,924
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,16
2024,Shoplifting,17
2024,Stock-theft,0
2024,Street Robbery,417
2024,TRIO crimes,414
2024,Theft of motor vehicle and motorcycle,35
2024,Theft out of or from motor vehicle,47
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,186
2023,Attempted murder,77
2023,Attempted sexual offences,7
2023,Bank robbery,0
2023,Burglary at non-residential premises,13
2023,Burglary at residential premises,114
2023,Carjacking,275
2023,Commercial crime,77
2023,Common assault,478
2023,Common robbery,132
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,137
2023,Drug-related crime,359
2023,Illegal possession of firearms and ammunition,49
2023,Kidnapping,21
2023,Malicious damage to property,347
2023,Murder,165
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,94
2023,Robbery at non-residential premises,10
2023,Robbery at residential premises,117
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,878
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,13
2023,Shoplifting,37
2023,Stock-theft,0
2023,Street Robbery,475
2023,TRIO crimes,402
2023,Theft of motor vehicle and motorcycle,51
2023,Theft out of or from motor vehicle,41
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,213
2022,Attempted murder,68
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,13
2022,Burglary at residential premises,139
2022,Carjacking,285
2022,Commercial crime,72
2022,Common assault,378
2022,Common robbery,80
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,50
2022,Drug-related crime,178
2022,Illegal possession of firearms and ammunition,37
2022,Kidnapping,27
2022,Malicious damage to property,291
2022,Murder,110
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,105
2022,Robbery at non-residential premises,27
