year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,128
2024,Attempted murder,145
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,76
2024,Burglary at residential premises,147
2024,Carjacking,37
2024,Commercial crime,108
2024,Common assault,358
2024,Common robbery,87
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,80
2024,Drug-related crime,1083
2024,Illegal possession of firearms and ammunition,138
2024,Kidnapping,5
2024,Malicious damage to property,401
2024,Murder,112
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,26
2024,Robbery at non-residential premises,9
2024,Robbery at residential premises,8
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,221
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,17
2024,Shoplifting,83
2024,Stock-theft,6
2024,Street Robbery,56
2024,TRIO crimes,54
2024,Theft of motor vehicle and motorcycle,29
2024,Theft out of or from motor vehicle,84
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,155
2023,Attempted murder,98
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,47
2023,Burglary at residential premises,142
2023,Carjacking,31
2023,Commercial crime,73
2023,Common assault,371
2023,Common robbery,83
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,37
2023,Drug-related crime,1123
2023,Illegal possession of firearms and ammunition,127
2023,Kidnapping,4
2023,Malicious damage to property,360
2023,Murder,81
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,34
2023,Robbery at non-residential premises,11
2023,Robbery at residential premises,2
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,149
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,19
2023,Shoplifting,104
2023,Stock-theft,6
2023,Street Robbery,102
2023,TRIO crimes,44
2023,Theft of motor vehicle and motorcycle,44
2023,Theft out of or from motor vehicle,95
2023,Truck hijacking,3
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,133
2022,Attempted murder,73
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,75
2022,Burglary at residential premises,126
2022,Carjacking,23
2022,Commercial crime,96
2022,Common assault,313
2022,Common robbery,45
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,38
2022,Drug-related crime,1137
2022,Illegal possession of firearms and ammunition,80
2022,Kidnapping,4
2022,Malicious damage to property,336
2022,Murder,64
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,37
2022,Robbery at non-residential premises,14
2022,Robbery at residential premises,9
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,151
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,16
2022,Shoplifting,71
2022,Stock-theft,5
2022,Street Robbery,104
2022,TRIO crimes,46
2022,Theft of motor vehicle and motorcycle,41
2022,Theft out of or from motor vehicle,101
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,9
2021,Assault with the intent to inflict grievous bodily harm,124
2021,Attempted murder,98
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,71
2021,Burglary at residential premises,135
2021,Carjacking,30
2021,Commercial crime,56
2021,Common assault,255
2021,Common robbery,64
2021,Contact sexual offences,0
2021,Crimen Injuria,42
2021,Culpable homicide,13
2021,Driving under the influence of alcohol or drugs,14
2021,Drug-related crime,727
2021,Illegal possession of firearms and ammunition,59
2021,Kidnapping,7
2021,Malicious damage to property,326
2021,Murder,67
2021,Neglect and ill-treatment of children,3
2021,Public violence,7
2021,Rape,51
2021,Robbery at non-residential premises,22
2021,Robbery at residential premises,17
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,216
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,28
2021,Shoplifting,52
2021,Stock-theft,8
2021,Street Robbery,143
2021,TRIO crimes,69
2021,Theft of motor vehicle and motorcycle,42
2021,Theft out of or from motor vehicle,110
2021,Truck hijacking,4
2020,Abduction,0
2020,Arson,5
2020,Assault with the intent to inflict grievous bodily harm,127
2020,Attempted murder,74
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,60
2020,Burglary at residential premises,172
2020,Carjacking,41
2020,Commercial crime,20
2020,Common assault,319
2020,Common robbery,105
2020,Contact sexual offences,0
2020,Crimen Injuria,50
2020,Culpable homicide,23
2020,Driving under the influence of alcohol or drugs,122
2020,Drug-related crime,922
2020,Illegal possession of firearms and ammunition,59
2020,Kidnapping,5
2020,Malicious damage to property,358
2020,Murder,78
2020,Neglect and ill-treatment of children,7
2020,Public violence,6
2020,Rape,42
2020,Robbery at non-residential premises,13
2020,Robbery at residential premises,10
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,237
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,25
2020,Shoplifting,48
2020,Stock-theft,35
2020,Street Robbery,168
2020,TRIO crimes,64
2020,Theft of motor vehicle and motorcycle,40
2020,Theft out of or from motor vehicle,188
2020,Truck hijacking,5
2019,Abduction,0
2019,Arson,9
2019,Assault with the intent to inflict grievous bodily harm,106
2019,Attempted murder,118
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,95
2019,Burglary at residential premises,188
2019,Carjacking,34
2019,Commercial crime,52
2019,Common assault,318
2019,Common robbery,80
2019,Contact sexual offences,2
2019,Crimen Injuria,47
2019,Culpable homicide,24
2019,Driving under the influence of alcohol or drugs,145
2019,Drug-related crime,1394
2019,Illegal possession of firearms and ammunition,108
2019,Kidnapping,4
2019,Malicious damage to property,281
2019,Murder,86
2019,Neglect and ill-treatment of children,3
2019,Public violence,5
2019,Rape,39
2019,Robbery at non-residential premises,18
2019,Robbery at residential premises,8
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,280
2019,Sexual Offences detected as a result of police action,1
2019,Sexual assault,23
2019,Shoplifting,88
2019,Stock-theft,20
2019,Street Robbery,215
2019,TRIO crimes,60
2019,Theft of motor vehicle and motorcycle,52
2019,Theft out of or from motor vehicle,230
2019,Truck hijacking,5
2018,Abduction,3
2018,Arson,4
2018,Assault with the intent to inflict grievous bodily harm,100
2018,Attempted murder,76
2018,Attempted sexual offences,1
2018,Bank robbery,0
2018,Burglary at non-residential premises,132
2018,Burglary at residential premises,239
2018,Carjacking,29
2018,Commercial crime,45
2018,Common assault,335
2018,Common robbery,119
2018,Contact sexual offences,3
2018,Crimen Injuria,64
2018,Culpable homicide,20
2018,Driving under the influence of alcohol or drugs,111
2018,Drug-related crime,1760
2018,Illegal possession of firearms and ammunition,114
2018,Kidnapping,3
2018,Malicious damage to property,292
2018,Murder,87
2018,Neglect and ill-treatment of children,4
2018,Public violence,8
2018,Rape,51
2018,Robbery at non-residential premises,23
2018,Robbery at residential premises,7
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,261
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,33
2018,Shoplifting,149
2018,Stock-theft,30
2018,Street Robbery,200
2018,TRIO crimes,59
2018,Theft of motor vehicle and motorcycle,50
2018,Theft out of or from motor vehicle,193
2018,Truck hijacking,2
2017,Abduction,2
2017,Arson,6
2017,Assault with the intent to inflict grievous bodily harm,100
2017,Attempted murder,91
2017,Attempted sexual offences,2
2017,Bank robbery,0
2017,Burglary at non-residential premises,140
2017,Burglary at residential premises,257
2017,Carjacking,26
2017,Commercial crime,40
2017,Common assault,342
2017,Common robbery,119
2017,Contact sexual offences,3
2017,Crimen Injuria,91
2017,Culpable homicide,14
2017,Driving under the influence of alcohol or drugs,67
2017,Drug-related crime,1925
2017,Illegal possession of firearms and ammunition,100
