year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,16
2024,Attempted murder,2
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,44
2024,Burglary at residential premises,152
2024,Carjacking,5
2024,Commercial crime,313
2024,Common assault,58
2024,Common robbery,42
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,17
2024,Drug-related crime,49
2024,Illegal possession of firearms and ammunition,0
2024,Kidnapping,2
2024,Malicious damage to property,37
2024,Murder,3
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,4
2024,Robbery at non-residential premises,2
2024,Robbery at residential premises,11
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,76
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,32
2024,Stock-theft,0
2024,Street Robbery,20
2024,TRIO crimes,18
2024,Theft of motor vehicle and motorcycle,64
2024,Theft out of or from motor vehicle,222
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,16
2023,Attempted murder,3
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,66
2023,Burglary at residential premises,159
2023,Carjacking,11
2023,Commercial crime,177
2023,Common assault,62
2023,Common robbery,36
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,21
2023,Drug-related crime,48
2023,Illegal possession of firearms and ammunition,1
2023,Kidnapping,2
2023,Malicious damage to property,38
2023,Murder,3
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,3
2023,Robbery at non-residential premises,9
2023,Robbery at residential premises,8
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,82
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,3
2023,Shoplifting,21
2023,Stock-theft,0
2023,Street Robbery,52
2023,TRIO crimes,28
2023,Theft of motor vehicle and motorcycle,55
