year,category,value
2024,Abduction,0
2024,Arson,6
2024,Assault with the intent to inflict grievous bodily harm,223
2024,Attempted murder,76
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,59
2024,Burglary at residential premises,106
2024,Carjacking,17
2024,Commercial crime,134
2024,Common assault,295
2024,Common robbery,138
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,18
2024,Drug-related crime,475
2024,Illegal possession of firearms and ammunition,71
2024,Kidnapping,9
2024,Malicious damage to property,419
2024,Murder,65
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,20
2024,Robbery at non-residential premises,4
2024,Robbery at residential premises,3
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,173
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,10
2024,Shoplifting,9
2024,Stock-theft,0
2024,Street Robbery,24
2024,TRIO crimes,24
2024,Theft of motor vehicle and motorcycle,45
2024,Theft out of or from motor vehicle,229
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,11
2023,Assault with the intent to inflict grievous bodily harm,253
2023,Attempted murder,89
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,79
2023,Burglary at residential premises,121
2023,Carjacking,17
2023,Commercial crime,118
2023,Common assault,374
2023,Common robbery,173
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,19
2023,Drug-related crime,440
2023,Illegal possession of firearms and ammunition,56
2023,Kidnapping,7
2023,Malicious damage to property,378
2023,Murder,59
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,29
2023,Robbery at non-residential premises,7
2023,Robbery at residential premises,8
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,147
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,21
2023,Shoplifting,18
2023,Stock-theft,0
2023,Street Robbery,115
2023,TRIO crimes,32
2023,Theft of motor vehicle and motorcycle,32
2023,Theft out of or from motor vehicle,195
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,282
2022,Attempted murder,70
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,64
2022,Burglary at residential premises,102
2022,Carjacking,18
2022,Commercial crime,77
2022,Common assault,332
2022,Common robbery,130
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,13
2022,Drug-related crime,369
2022,Illegal possession of firearms and ammunition,42
2022,Kidnapping,5
2022,Malicious damage to property,385
2022,Murder,41
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,30
2022,Robbery at non-residential premises,12
2022,Robbery at residential premises,6
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,143
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,21
2022,Shoplifting,15
2022,Stock-theft,0
2022,Street Robbery,106
2022,TRIO crimes,36
2022,Theft of motor vehicle and motorcycle,24
2022,Theft out of or from motor vehicle,145
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,5
2021,Assault with the intent to inflict grievous bodily harm,211
2021,Attempted murder,97
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,69
2021,Burglary at residential premises,90
2021,Carjacking,12
2021,Commercial crime,63
2021,Common assault,340
2021,Common robbery,97
2021,Contact sexual offences,3
2021,Crimen Injuria,39
2021,Culpable homicide,7
2021,Driving under the influence of alcohol or drugs,13
2021,Drug-related crime,490
2021,Illegal possession of firearms and ammunition,70
2021,Kidnapping,6
2021,Malicious damage to property,315
2021,Murder,90
2021,Neglect and ill-treatment of children,2
2021,Public violence,3
2021,Rape,30
2021,Robbery at non-residential premises,6
2021,Robbery at residential premises,1
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,112
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,18
2021,Shoplifting,33
2021,Stock-theft,0
2021,Street Robbery,92
2021,TRIO crimes,19
2021,Theft of motor vehicle and motorcycle,25
2021,Theft out of or from motor vehicle,129
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,11
2020,Assault with the intent to inflict grievous bodily harm,280
2020,Attempted murder,102
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,81
2020,Burglary at residential premises,163
2020,Carjacking,22
2020,Commercial crime,59
2020,Common assault,410
2020,Common robbery,167
2020,Contact sexual offences,4
2020,Crimen Injuria,105
2020,Culpable homicide,9
2020,Driving under the influence of alcohol or drugs,83
2020,Drug-related crime,625
2020,Illegal possession of firearms and ammunition,70
2020,Kidnapping,6
2020,Malicious damage to property,426
2020,Murder,78
2020,Neglect and ill-treatment of children,3
2020,Public violence,4
2020,Rape,41
2020,Robbery at non-residential premises,11
2020,Robbery at residential premises,4
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,213
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,24
2020,Shoplifting,21
2020,Stock-theft,0
2020,Street Robbery,173
2020,TRIO crimes,37
2020,Theft of motor vehicle and motorcycle,41
2020,Theft out of or from motor vehicle,288
2020,Truck hijacking,3
2019,Abduction,1
2019,Arson,8
2019,Assault with the intent to inflict grievous bodily harm,269
2019,Attempted murder,77
2019,Attempted sexual offences,3
2019,Bank robbery,0
2019,Burglary at non-residential premises,77
2019,Burglary at residential premises,153
2019,Carjacking,19
2019,Commercial crime,73
2019,Common assault,420
2019,Common robbery,175
2019,Contact sexual offences,3
2019,Crimen Injuria,91
2019,Culpable homicide,7
2019,Driving under the influence of alcohol or drugs,75
2019,Drug-related crime,840
2019,Illegal possession of firearms and ammunition,114
2019,Kidnapping,1
2019,Malicious damage to property,414
2019,Murder,98
2019,Neglect and ill-treatment of children,5
2019,Public violence,14
2019,Rape,30
2019,Robbery at non-residential premises,10
2019,Robbery at residential premises,4
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,156
2019,Sexual Offences detected as a result of police action,1
2019,Sexual assault,8
2019,Shoplifting,29
2019,Stock-theft,0
2019,Street Robbery,122
2019,TRIO crimes,33
2019,Theft of motor vehicle and motorcycle,44
2019,Theft out of or from motor vehicle,281
2019,Truck hijacking,1
2018,Abduction,0
2018,Arson,4
2018,Assault with the intent to inflict grievous bodily harm,315
2018,Attempted murder,102
2018,Attempted sexual offences,3
2018,Bank robbery,0
2018,Burglary at non-residential premises,123
2018,Burglary at residential premises,181
2018,Carjacking,14
2018,Commercial crime,72
2018,Common assault,388
2018,Common robbery,175
2018,Contact sexual offences,0
2018,Crimen Injuria,77
2018,Culpable homicide,9
2018,Driving under the influence of alcohol or drugs,62
2018,Drug-related crime,2451
2018,Illegal possession of firearms and ammunition,91
2018,Kidnapping,4
2018,Malicious damage to property,459
2018,Murder,65
2018,Neglect and ill-treatment of children,7
2018,Public violence,13
2018,Rape,25
2018,Robbery at non-residential premises,5
2018,Robbery at residential premises,6
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,164
2018,Sexual Offences detected as a result of police action,2
2018,Sexual assault,22
2018,Shoplifting,47
2018,Stock-theft,0
2018,Street Robbery,138
2018,TRIO crimes,25
2018,Theft of motor vehicle and motorcycle,61
2018,Theft out of or from motor vehicle,332
2018,Truck hijacking,1
2017,Abduction,0
2017,Arson,12
2017,Assault with the intent to inflict grievous bodily harm,325
2017,Attempted murder,111
2017,Attempted sexual offences,2
2017,Bank robbery,0
2017,Burglary at non-residential premises,139
2017,Burglary at residential premises,238
2017,Carjacking,12
2017,Commercial crime,77
2017,Common assault,389
2017,Common robbery,159
2017,Contact sexual offences,1
2017,Crimen Injuria,102
2017,Culpable homicide,10
2017,Driving under the influence of alcohol or drugs,92
2017,Drug-related crime,1790
2017,Illegal possession of firearms and ammunition,87
2017,Kidnapping,7
2017,Malicious damage to property,495
2017,Murder,61
2017,Neglect and ill-treatment of children,8
2017,Public violence,11
2017,Rape,28
2017,Robbery at non-residential premises,10
2017,Robbery at residential premises,9
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,175
2017,Sexual Offences detected as a result of police action,0
2017,Sexual assault,13
2017,Shoplifting,73
2017,Stock-theft,0
2017,Street Robbery,142
2017,TRIO crimes,31
2017,Theft of motor vehicle and motorcycle,47
2017,Theft out of or from motor vehicle,337
2017,Truck hijacking,2
2016,Arson,10
2016,Assault with the intent to inflict grievous bodily harm,355
2016,Attempted murder,71
2016,Attempted sexual offences,4
2016,Bank robbery,0
2016,Burglary at non-residential premises,153
2016,Burglary at residential premises,268
2016,Carjacking,20
2016,Commercial crime,73
2016,Common assault,436
2016,Common robbery,133
2016,Contact sexual offences,6
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,93
2016,Drug-related crime,1431
2016,Illegal possession of firearms and ammunition,57
2016,Kidnapping,14
2016,Malicious damage to property,451
2016,Murder,43
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,32
2016,Robbery at non-residential premises,22
2016,Robbery at residential premises,6
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,189
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,10
2016,Shoplifting,39
2016,Stock-theft,0
2016,Street Robbery,140
2016,TRIO crimes,48
2016,Theft of motor vehicle and motorcycle,54
2016,Theft out of or from motor vehicle,371
2016,Truck hijacking,1
2015,Arson,12
2015,Assault with the intent to inflict grievous bodily harm,411
2015,Attempted murder,87
2015,Attempted sexual offences,2
2015,Bank robbery,0
2015,Burglary at non-residential premises,167
2015,Burglary at residential premises,227
2015,Carjacking,14
2015,Commercial crime,63
2015,Common assault,450
2015,Common robbery,170
2015,Contact sexual offences,5
2015,Crimen Injuria,145
2015,Culpable homicide,7
2015,Driving under the influence of alcohol or drugs,95
2015,Drug-related crime,1180
2015,Illegal possession of firearms and ammunition,85
2015,Kidnapping,10
2015,Malicious damage to property,450
2015,Murder,44
2015,Neglect and ill-treatment of children,9
2015,Public violence,0
2015,Rape,42
2015,Robbery at non-residential premises,18
2015,Robbery at residential premises,9
2015,Robbery of cash in transit,2
2015,Robbery with aggravating circumstances,196
2015,Sexual Offences detected as a result of police action,0
2015,Sexual assault,22
2015,Shoplifting,28
2015,Stock-theft,0
2015,Street Robbery,153
2015,TRIO crimes,41
2015,Theft of motor vehicle and motorcycle,79
2015,Theft out of or from motor vehicle,351
2015,Truck hijacking,0
2014,Arson,8
2014,Assault with the intent to inflict grievous bodily harm,319
2014,Attempted murder,75
2014,Attempted sexual offences,1
2014,Bank robbery,0
2014,Burglary at non-residential premises,153
2014,Burglary at residential premises,242
2014,Carjacking,9
2014,Commercial crime,80
2014,Common assault,411
2014,Common robbery,133
2014,Contact sexual offences,2
2014,Crimen Injuria,89
2014,Culpable homicide,9
2014,Driving under the influence of alcohol or drugs,95
2014,Drug-related crime,1315
2014,Illegal possession of firearms and ammunition,82
2014,Kidnapping,4
2014,Malicious damage to property,344
2014,Murder,44
2014,Neglect and ill-treatment of children,7
2014,Public violence,0
2014,Rape,48
2014,Robbery at non-residential premises,16
2014,Robbery at residential premises,7
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,152
2014,Sexual Offences detected as a result of police action,3
2014,Sexual assault,18
2014,Shoplifting,32
2014,Stock-theft,0
2014,Street Robbery,120
2014,TRIO crimes,32
2014,Theft of motor vehicle and motorcycle,64
2014,Theft out of or from motor vehicle,301
2014,Truck hijacking,0
2013,Arson,6
2013,Assault with the intent to inflict grievous bodily harm,337
2013,Attempted murder,68
2013,Attempted sexual offences,6
2013,Bank robbery,0
2013,Burglary at non-residential premises,149
2013,Burglary at residential premises,269
2013,Carjacking,7
2013,Commercial crime,92
2013,Common assault,378
2013,Common robbery,134
2013,Contact sexual offences,2
2013,Crimen Injuria,86
2013,Culpable homicide,7
2013,Driving under the influence of alcohol or drugs,83
2013,Drug-related crime,1276
2013,Illegal possession of firearms and ammunition,75
2013,Kidnapping,2
2013,Malicious damage to property,384
2013,Murder,24
2013,Neglect and ill-treatment of children,7
2013,Public violence,0
2013,Rape,43
2013,Robbery at non-residential premises,12
2013,Robbery at residential premises,5
2013,Robbery of cash in transit,1
2013,Robbery with aggravating circumstances,136
2013,Sexual Offences detected as a result of police action,1
2013,Sexual assault,13
2013,Shoplifting,43
2013,Stock-theft,0
2013,Street Robbery,110
2013,TRIO crimes,24
2013,Theft of motor vehicle and motorcycle,38
2013,Theft out of or from motor vehicle,303
2013,Truck hijacking,1
2012,Arson,14
2012,Assault with the intent to inflict grievous bodily harm,320
2012,Attempted murder,51
2012,Attempted sexual offences,5
2012,Bank robbery,0
2012,Burglary at non-residential premises,109
2012,Burglary at residential premises,262
2012,Carjacking,4
2012,Commercial crime,97
2012,Common assault,333
2012,Common robbery,136
2012,Contact sexual offences,3
2012,Crimen Injuria,83
2012,Culpable homicide,6
2012,Driving under the influence of alcohol or drugs,119
2012,Drug-related crime,1096
2012,Illegal possession of firearms and ammunition,54
2012,Kidnapping,2
2012,Malicious damage to property,315
2012,Murder,15
2012,Neglect and ill-treatment of children,11
2012,Public violence,0
2012,Rape,49
