year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,4
2024,Attempted murder,2
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,33
2024,Burglary at residential premises,154
2024,Carjacking,4
2024,Commercial crime,171
2024,Common assault,29
2024,Common robbery,46
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,8
2024,Drug-related crime,11
2024,Illegal possession of firearms and ammunition,1
2024,Kidnapping,4
2024,Malicious damage to property,20
2024,Murder,1
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,5
2024,Robbery at non-residential premises,2
2024,Robbery at residential premises,5
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,83
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,2
2024,Shoplifting,21
2024,Stock-theft,0
2024,Street Robbery,11
2024,TRIO crimes,11
2024,Theft of motor vehicle and motorcycle,146
2024,Theft out of or from motor vehicle,306
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,9
2023,Attempted murder,1
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,38
2023,Burglary at residential premises,202
2023,Carjacking,4
2023,Commercial crime,135
2023,Common assault,32
2023,Common robbery,45
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,13
2023,Drug-related crime,15
2023,Illegal possession of firearms and ammunition,0
2023,Kidnapping,2
2023,Malicious damage to property,25
2023,Murder,1
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,5
2023,Robbery at non-residential premises,6
2023,Robbery at residential premises,5
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,89
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,2
2023,Shoplifting,24
2023,Stock-theft,0
2023,Street Robbery,74
2023,TRIO crimes,15
2023,Theft of motor vehicle and motorcycle,75
