year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,107
2024,Attempted murder,43
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,87
2024,Burglary at residential premises,277
2024,Carjacking,3
2024,Commercial crime,410
2024,Common assault,499
2024,Common robbery,92
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,34
2024,Drug-related crime,1559
2024,Illegal possession of firearms and ammunition,62
2024,Kidnapping,7
2024,Malicious damage to property,268
2024,Murder,21
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,29
2024,Robbery at non-residential premises,34
2024,Robbery at residential premises,16
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,254
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,21
2024,Shoplifting,33
2024,Stock-theft,0
2024,Street Robbery,53
2024,TRIO crimes,53
2024,Theft of motor vehicle and motorcycle,149
2024,Theft out of or from motor vehicle,285
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,112
2023,Attempted murder,58
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,92
2023,Burglary at residential premises,280
2023,Carjacking,6
2023,Commercial crime,375
2023,Common assault,424
2023,Common robbery,77
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,34
2023,Drug-related crime,1381
2023,Illegal possession of firearms and ammunition,54
2023,Kidnapping,9
2023,Malicious damage to property,314
2023,Murder,21
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,39
2023,Robbery at non-residential premises,24
2023,Robbery at residential premises,13
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,217
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,24
2023,Shoplifting,30
2023,Stock-theft,0
2023,Street Robbery,174
2023,TRIO crimes,43
2023,Theft of motor vehicle and motorcycle,145
2023,Theft out of or from motor vehicle,273
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,96
2022,Attempted murder,53
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,143
2022,Burglary at residential premises,345
2022,Carjacking,5
2022,Commercial crime,285
2022,Common assault,296
2022,Common robbery,63
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,46
2022,Drug-related crime,654
2022,Illegal possession of firearms and ammunition,59
2022,Kidnapping,9
2022,Malicious damage to property,283
2022,Murder,20
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,37
2022,Robbery at non-residential premises,34
