year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,34
2024,Attempted murder,6
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,8
2024,Burglary at residential premises,85
2024,Carjacking,3
2024,Commercial crime,81
2024,Common assault,85
2024,Common robbery,20
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,69
2024,Drug-related crime,215
2024,Illegal possession of firearms and ammunition,2
2024,Kidnapping,2
2024,Malicious damage to property,72
2024,Murder,4
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,5
2024,Robbery at non-residential premises,4
2024,Robbery at residential premises,2
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,47
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,21
2024,Stock-theft,0
2024,Street Robbery,9
2024,TRIO crimes,9
2024,Theft of motor vehicle and motorcycle,46
2024,Theft out of or from motor vehicle,43
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,22
2023,Attempted murder,2
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,6
2023,Burglary at residential premises,93
2023,Carjacking,7
2023,Commercial crime,73
2023,Common assault,114
2023,Common robbery,23
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,73
2023,Drug-related crime,108
2023,Illegal possession of firearms and ammunition,2
2023,Kidnapping,3
2023,Malicious damage to property,110
2023,Murder,1
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,13
2023,Robbery at non-residential premises,2
2023,Robbery at residential premises,5
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,58
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,13
2023,Stock-theft,0
2023,Street Robbery,44
2023,TRIO crimes,14
2023,Theft of motor vehicle and motorcycle,36
2023,Theft out of or from motor vehicle,73
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,28
2022,Attempted murder,6
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,7
2022,Burglary at residential premises,102
2022,Carjacking,11
2022,Commercial crime,71
2022,Common assault,103
2022,Common robbery,18
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,57
2022,Drug-related crime,276
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,2
2022,Malicious damage to property,81
2022,Murder,6
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,13
2022,Robbery at non-residential premises,3
2022,Robbery at residential premises,15
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,84
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,4
2022,Shoplifting,3
2022,Stock-theft,0
2022,Street Robbery,55
2022,TRIO crimes,29
2022,Theft of motor vehicle and motorcycle,48
2022,Theft out of or from motor vehicle,45
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,28
2021,Attempted murder,3
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,9
2021,Burglary at residential premises,67
2021,Carjacking,3
2021,Commercial crime,26
2021,Common assault,78
2021,Common robbery,18
2021,Contact sexual offences,1
2021,Crimen Injuria,21
2021,Culpable homicide,3
2021,Driving under the influence of alcohol or drugs,15
2021,Drug-related crime,265
2021,Illegal possession of firearms and ammunition,5
2021,Kidnapping,2
2021,Malicious damage to property,48
2021,Murder,1
2021,Neglect and ill-treatment of children,1
2021,Public violence,0
2021,Rape,11
2021,Robbery at non-residential premises,2
2021,Robbery at residential premises,9
