year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,131
2024,Attempted murder,29
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,31
2024,Burglary at residential premises,388
2024,Carjacking,17
2024,Commercial crime,1005
2024,Common assault,479
2024,Common robbery,237
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,122
2024,Drug-related crime,364
2024,Illegal possession of firearms and ammunition,9
2024,Kidnapping,9
2024,Malicious damage to property,317
2024,Murder,37
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,45
2024,Robbery at non-residential premises,23
2024,Robbery at residential premises,29
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,288
2024,Sexual Offences detected as a result of police action,2
2024,Sexual assault,18
2024,Shoplifting,263
2024,Stock-theft,2
2024,Street Robbery,75
2024,TRIO crimes,69
2024,Theft of motor vehicle and motorcycle,97
2024,Theft out of or from motor vehicle,508
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,183
2023,Attempted murder,27
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,30
2023,Burglary at residential premises,485
2023,Carjacking,9
2023,Commercial crime,776
2023,Common assault,475
2023,Common robbery,217
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,123
2023,Drug-related crime,315
2023,Illegal possession of firearms and ammunition,17
2023,Kidnapping,11
2023,Malicious damage to property,250
2023,Murder,29
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,48
2023,Robbery at non-residential premises,15
2023,Robbery at residential premises,20
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,269
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,23
2023,Shoplifting,244
2023,Stock-theft,0
2023,Street Robbery,225
2023,TRIO crimes,44
2023,Theft of motor vehicle and motorcycle,96
2023,Theft out of or from motor vehicle,494
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,146
2022,Attempted murder,18
2022,Attempted sexual offences,6
2022,Bank robbery,0
2022,Burglary at non-residential premises,36
2022,Burglary at residential premises,353
2022,Carjacking,13
2022,Commercial crime,619
2022,Common assault,426
2022,Common robbery,159
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,-1
2022,Driving under the influence of alcohol or drugs,107
2022,Drug-related crime,519
2022,Illegal possession of firearms and ammunition,5
2022,Kidnapping,14
2022,Malicious damage to property,228
2022,Murder,23
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,55
2022,Robbery at non-residential premises,13
