year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,54
2024,Attempted murder,16
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,90
2024,Burglary at residential premises,233
2024,Carjacking,8
2024,Commercial crime,263
2024,Common assault,145
2024,Common robbery,150
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,56
2024,Drug-related crime,533
2024,Illegal possession of firearms and ammunition,8
2024,Kidnapping,5
2024,Malicious damage to property,158
2024,Murder,8
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,12
2024,Robbery at non-residential premises,13
2024,Robbery at residential premises,12
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,221
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,100
2024,Stock-theft,0
2024,Street Robbery,34
2024,TRIO crimes,33
2024,Theft of motor vehicle and motorcycle,47
2024,Theft out of or from motor vehicle,573
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,56
2023,Attempted murder,6
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,122
2023,Burglary at residential premises,192
2023,Carjacking,15
2023,Commercial crime,213
2023,Common assault,129
2023,Common robbery,107
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,58
2023,Drug-related crime,602
2023,Illegal possession of firearms and ammunition,3
2023,Kidnapping,11
2023,Malicious damage to property,161
2023,Murder,5
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,25
2023,Robbery at non-residential premises,18
2023,Robbery at residential premises,7
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,209
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,114
2023,Stock-theft,0
2023,Street Robbery,169
2023,TRIO crimes,40
2023,Theft of motor vehicle and motorcycle,74
2023,Theft out of or from motor vehicle,582
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,0
2022,Assault with the intent to inflict grievous bodily harm,57
2022,Attempted murder,5
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,92
2022,Burglary at residential premises,171
2022,Carjacking,7
2022,Commercial crime,189
2022,Common assault,119
2022,Common robbery,93
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,32
2022,Drug-related crime,512
2022,Illegal possession of firearms and ammunition,4
2022,Kidnapping,9
2022,Malicious damage to property,144
2022,Murder,3
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,14
2022,Robbery at non-residential premises,18
2022,Robbery at residential premises,12
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,171
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,4
2022,Shoplifting,184
2022,Stock-theft,0
2022,Street Robbery,134
2022,TRIO crimes,37
2022,Theft of motor vehicle and motorcycle,64
2022,Theft out of or from motor vehicle,460
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,57
2021,Attempted murder,6
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,181
2021,Burglary at residential premises,240
2021,Carjacking,18
2021,Commercial crime,164
2021,Common assault,135
2021,Common robbery,119
2021,Contact sexual offences,1
2021,Crimen Injuria,14
2021,Culpable homicide,5
2021,Driving under the influence of alcohol or drugs,20
2021,Drug-related crime,348
2021,Illegal possession of firearms and ammunition,12
2021,Kidnapping,4
2021,Malicious damage to property,113
2021,Murder,4
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,7
2021,Robbery at non-residential premises,24
2021,Robbery at residential premises,12
