year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,163
2024,Attempted murder,3
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,50
2024,Burglary at residential premises,247
2024,Carjacking,0
2024,Commercial crime,171
2024,Common assault,180
2024,Common robbery,26
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,98
2024,Drug-related crime,299
2024,Illegal possession of firearms and ammunition,6
2024,Kidnapping,4
2024,Malicious damage to property,115
2024,Murder,7
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,23
2024,Robbery at non-residential premises,4
2024,Robbery at residential premises,2
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,31
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,16
2024,Shoplifting,40
2024,Stock-theft,4
2024,Street Robbery,6
2024,TRIO crimes,6
2024,Theft of motor vehicle and motorcycle,7
2024,Theft out of or from motor vehicle,89
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,140
2023,Attempted murder,2
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,53
2023,Burglary at residential premises,263
2023,Carjacking,0
2023,Commercial crime,155
2023,Common assault,182
2023,Common robbery,23
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,89
2023,Drug-related crime,265
2023,Illegal possession of firearms and ammunition,2
2023,Kidnapping,0
2023,Malicious damage to property,119
2023,Murder,6
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,19
2023,Robbery at non-residential premises,9
2023,Robbery at residential premises,4
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,30
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,42
2023,Stock-theft,0
2023,Street Robbery,17
2023,TRIO crimes,13
2023,Theft of motor vehicle and motorcycle,7
2023,Theft out of or from motor vehicle,141
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,146
2022,Attempted murder,9
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,56
2022,Burglary at residential premises,279
2022,Carjacking,0
2022,Commercial crime,126
2022,Common assault,225
2022,Common robbery,23
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,39
2022,Drug-related crime,199
2022,Illegal possession of firearms and ammunition,7
2022,Kidnapping,3
2022,Malicious damage to property,161
2022,Murder,11
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,18
2022,Robbery at non-residential premises,5
2022,Robbery at residential premises,5
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,34
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,12
2022,Shoplifting,59
2022,Stock-theft,4
2022,Street Robbery,23
2022,TRIO crimes,10
2022,Theft of motor vehicle and motorcycle,6
2022,Theft out of or from motor vehicle,118
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,7
