year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,167
2024,Attempted murder,22
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,295
2024,Burglary at residential premises,377
2024,Carjacking,1
2024,Commercial crime,657
2024,Common assault,459
2024,Common robbery,91
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,348
2024,Drug-related crime,675
2024,Illegal possession of firearms and ammunition,2
2024,Kidnapping,8
2024,Malicious damage to property,238
2024,Murder,11
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,48
2024,Robbery at non-residential premises,10
2024,Robbery at residential premises,14
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,114
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,24
2024,Shoplifting,353
2024,Stock-theft,7
2024,Street Robbery,25
2024,TRIO crimes,25
2024,Theft of motor vehicle and motorcycle,34
2024,Theft out of or from motor vehicle,318
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,152
2023,Attempted murder,18
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,259
2023,Burglary at residential premises,430
2023,Carjacking,3
2023,Commercial crime,578
2023,Common assault,500
2023,Common robbery,66
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,403
2023,Drug-related crime,677
2023,Illegal possession of firearms and ammunition,6
2023,Kidnapping,4
2023,Malicious damage to property,237
2023,Murder,14
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,56
2023,Robbery at non-residential premises,16
2023,Robbery at residential premises,13
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,132
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,17
2023,Shoplifting,308
2023,Stock-theft,13
2023,Street Robbery,100
2023,TRIO crimes,32
2023,Theft of motor vehicle and motorcycle,30
2023,Theft out of or from motor vehicle,330
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,133
2022,Attempted murder,15
2022,Attempted sexual offences,8
2022,Bank robbery,0
2022,Burglary at non-residential premises,250
2022,Burglary at residential premises,464
2022,Carjacking,2
2022,Commercial crime,442
2022,Common assault,442
2022,Common robbery,54
2022,Contact sexual offences,8
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,212
2022,Drug-related crime,423
2022,Illegal possession of firearms and ammunition,7
2022,Kidnapping,9
2022,Malicious damage to property,223
2022,Murder,13
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,52
2022,Robbery at non-residential premises,24
2022,Robbery at residential premises,12
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,123
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,16
2022,Shoplifting,226
2022,Stock-theft,13
2022,Street Robbery,83
2022,TRIO crimes,38
2022,Theft of motor vehicle and motorcycle,27
2022,Theft out of or from motor vehicle,361
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,3
