year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,207
2024,Attempted murder,15
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,33
2024,Burglary at residential premises,195
2024,Carjacking,0
2024,Commercial crime,75
2024,Common assault,371
2024,Common robbery,24
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,65
2024,Drug-related crime,463
2024,Illegal possession of firearms and ammunition,4
2024,Kidnapping,2
2024,Malicious damage to property,199
2024,Murder,12
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,40
2024,Robbery at non-residential premises,7
2024,Robbery at residential premises,6
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,55
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,13
2024,Shoplifting,2
2024,Stock-theft,4
2024,Street Robbery,13
2024,TRIO crimes,13
2024,Theft of motor vehicle and motorcycle,8
2024,Theft out of or from motor vehicle,69
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,192
2023,Attempted murder,15
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,26
2023,Burglary at residential premises,221
2023,Carjacking,1
2023,Commercial crime,59
2023,Common assault,363
2023,Common robbery,29
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,88
2023,Drug-related crime,460
2023,Illegal possession of firearms and ammunition,2
2023,Kidnapping,2
2023,Malicious damage to property,180
2023,Murder,8
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,38
2023,Robbery at non-residential premises,4
2023,Robbery at residential premises,9
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,56
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,16
2023,Shoplifting,4
2023,Stock-theft,6
2023,Street Robbery,42
2023,TRIO crimes,14
2023,Theft of motor vehicle and motorcycle,11
2023,Theft out of or from motor vehicle,66
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,179
2022,Attempted murder,10
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,51
2022,Burglary at residential premises,246
2022,Carjacking,1
2022,Commercial crime,53
2022,Common assault,321
2022,Common robbery,17
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,59
2022,Drug-related crime,336
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,6
2022,Malicious damage to property,204
2022,Murder,8
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,47
2022,Robbery at non-residential premises,13
