year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,608
2024,Attempted murder,41
2024,Attempted sexual offences,8
2024,Bank robbery,0
2024,Burglary at non-residential premises,165
2024,Burglary at residential premises,314
2024,Carjacking,0
2024,Commercial crime,222
2024,Common assault,552
2024,Common robbery,102
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,70
2024,Drug-related crime,1114
2024,Illegal possession of firearms and ammunition,11
2024,Kidnapping,11
2024,Malicious damage to property,351
2024,Murder,20
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,59
2024,Robbery at non-residential premises,10
2024,Robbery at residential premises,3
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,105
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,23
2024,Shoplifting,285
2024,Stock-theft,19
2024,Street Robbery,13
2024,TRIO crimes,13
2024,Theft of motor vehicle and motorcycle,4
2024,Theft out of or from motor vehicle,147
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,11
2023,Assault with the intent to inflict grievous bodily harm,573
2023,Attempted murder,81
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,176
2023,Burglary at residential premises,374
2023,Carjacking,0
2023,Commercial crime,194
2023,Common assault,604
2023,Common robbery,103
2023,Contact sexual offences,5
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,85
2023,Drug-related crime,927
2023,Illegal possession of firearms and ammunition,17
2023,Kidnapping,13
2023,Malicious damage to property,409
2023,Murder,13
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,68
2023,Robbery at non-residential premises,6
2023,Robbery at residential premises,11
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,132
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,33
2023,Shoplifting,282
2023,Stock-theft,36
2023,Street Robbery,115
2023,TRIO crimes,17
2023,Theft of motor vehicle and motorcycle,6
2023,Theft out of or from motor vehicle,205
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,14
2022,Assault with the intent to inflict grievous bodily harm,504
2022,Attempted murder,118
2022,Attempted sexual offences,8
2022,Bank robbery,0
2022,Burglary at non-residential premises,209
2022,Burglary at residential premises,365
2022,Carjacking,1
2022,Commercial crime,148
2022,Common assault,540
2022,Common robbery,84
2022,Contact sexual offences,5
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,25
2022,Drug-related crime,610
2022,Illegal possession of firearms and ammunition,11
2022,Kidnapping,10
2022,Malicious damage to property,356
2022,Murder,12
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,70
2022,Robbery at non-residential premises,23
