year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,186
2024,Attempted murder,50
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,109
2024,Burglary at residential premises,408
2024,Carjacking,0
2024,Commercial crime,404
2024,Common assault,452
2024,Common robbery,55
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,116
2024,Drug-related crime,1243
2024,Illegal possession of firearms and ammunition,18
2024,Kidnapping,12
2024,Malicious damage to property,254
2024,Murder,26
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,45
2024,Robbery at non-residential premises,5
2024,Robbery at residential premises,28
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,118
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,15
2024,Shoplifting,148
2024,Stock-theft,0
2024,Street Robbery,33
2024,TRIO crimes,33
2024,Theft of motor vehicle and motorcycle,22
2024,Theft out of or from motor vehicle,166
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,180
2023,Attempted murder,40
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,100
2023,Burglary at residential premises,460
2023,Carjacking,2
2023,Commercial crime,399
2023,Common assault,370
2023,Common robbery,48
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,133
2023,Drug-related crime,1144
2023,Illegal possession of firearms and ammunition,16
2023,Kidnapping,17
2023,Malicious damage to property,237
2023,Murder,25
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,33
2023,Robbery at non-residential premises,4
2023,Robbery at residential premises,34
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,146
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,17
2023,Shoplifting,162
2023,Stock-theft,1
2023,Street Robbery,105
2023,TRIO crimes,40
2023,Theft of motor vehicle and motorcycle,41
2023,Theft out of or from motor vehicle,151
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,172
2022,Attempted murder,48
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,134
2022,Burglary at residential premises,414
2022,Carjacking,1
2022,Commercial crime,304
2022,Common assault,334
2022,Common robbery,51
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,105
2022,Drug-related crime,894
2022,Illegal possession of firearms and ammunition,15
2022,Kidnapping,15
2022,Malicious damage to property,216
2022,Murder,26
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,49
2022,Robbery at non-residential premises,11
2022,Robbery at residential premises,34
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,146
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,12
2022,Shoplifting,95
2022,Stock-theft,0
2022,Street Robbery,100
2022,TRIO crimes,46
2022,Theft of motor vehicle and motorcycle,36
2022,Theft out of or from motor vehicle,187
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,9
2021,Assault with the intent to inflict grievous bodily harm,149
2021,Attempted murder,55
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,91
2021,Burglary at residential premises,474
2021,Carjacking,1
2021,Commercial crime,190
2021,Common assault,239
2021,Common robbery,47
2021,Contact sexual offences,0
2021,Crimen Injuria,42
2021,Culpable homicide,3
2021,Driving under the influence of alcohol or drugs,73
2021,Drug-related crime,594
2021,Illegal possession of firearms and ammunition,23
2021,Kidnapping,8
2021,Malicious damage to property,211
2021,Murder,27
2021,Neglect and ill-treatment of children,2
2021,Public violence,11
2021,Rape,50
2021,Robbery at non-residential premises,19
2021,Robbery at residential premises,17
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,109
2021,Sexual Offences detected as a result of police action,2
2021,Sexual assault,11
2021,Shoplifting,168
2021,Stock-theft,0
2021,Street Robbery,72
2021,TRIO crimes,37
2021,Theft of motor vehicle and motorcycle,22
2021,Theft out of or from motor vehicle,177
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,8
2020,Assault with the intent to inflict grievous bodily harm,215
2020,Attempted murder,59
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,112
2020,Burglary at residential premises,647
2020,Carjacking,3
2020,Commercial crime,225
2020,Common assault,317
2020,Common robbery,48
2020,Contact sexual offences,3
2020,Crimen Injuria,69
2020,Culpable homicide,6
2020,Driving under the influence of alcohol or drugs,152
2020,Drug-related crime,544
2020,Illegal possession of firearms and ammunition,23
2020,Kidnapping,9
2020,Malicious damage to property,213
2020,Murder,26
2020,Neglect and ill-treatment of children,1
2020,Public violence,3
2020,Rape,38
2020,Robbery at non-residential premises,22
2020,Robbery at residential premises,26
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,124
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,10
2020,Shoplifting,227
2020,Stock-theft,1
2020,Street Robbery,73
2020,TRIO crimes,51
2020,Theft of motor vehicle and motorcycle,50
2020,Theft out of or from motor vehicle,230
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,13
2019,Assault with the intent to inflict grievous bodily harm,227
2019,Attempted murder,96
2019,Attempted sexual offences,0
2019,Bank robbery,0
2019,Burglary at non-residential premises,299
2019,Burglary at residential premises,822
2019,Carjacking,4
2019,Commercial crime,212
2019,Common assault,330
2019,Common robbery,51
2019,Contact sexual offences,0
2019,Crimen Injuria,69
2019,Culpable homicide,7
2019,Driving under the influence of alcohol or drugs,124
2019,Drug-related crime,610
2019,Illegal possession of firearms and ammunition,16
2019,Kidnapping,10
2019,Malicious damage to property,274
2019,Murder,18
2019,Neglect and ill-treatment of children,0
2019,Public violence,15
2019,Rape,46
2019,Robbery at non-residential premises,7
2019,Robbery at residential premises,21
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,112
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,17
2019,Shoplifting,196
2019,Stock-theft,0
2019,Street Robbery,80
2019,TRIO crimes,32
2019,Theft of motor vehicle and motorcycle,44
2019,Theft out of or from motor vehicle,344
2019,Truck hijacking,0
2018,Abduction,1
2018,Arson,14
2018,Assault with the intent to inflict grievous bodily harm,253
2018,Attempted murder,82
2018,Attempted sexual offences,4
2018,Bank robbery,0
2018,Burglary at non-residential premises,189
2018,Burglary at residential premises,869
2018,Carjacking,2
2018,Commercial crime,151
2018,Common assault,346
2018,Common robbery,65
2018,Contact sexual offences,1
2018,Crimen Injuria,71
2018,Culpable homicide,7
2018,Driving under the influence of alcohol or drugs,143
2018,Drug-related crime,700
2018,Illegal possession of firearms and ammunition,21
2018,Kidnapping,3
2018,Malicious damage to property,276
2018,Murder,20
2018,Neglect and ill-treatment of children,0
2018,Public violence,6
2018,Rape,40
2018,Robbery at non-residential premises,7
2018,Robbery at residential premises,32
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,171
2018,Sexual Offences detected as a result of police action,1
2018,Sexual assault,20
2018,Shoplifting,114
2018,Stock-theft,1
2018,Street Robbery,129
2018,TRIO crimes,41
2018,Theft of motor vehicle and motorcycle,38
2018,Theft out of or from motor vehicle,343
2018,Truck hijacking,0
2017,Abduction,2
2017,Arson,10
2017,Assault with the intent to inflict grievous bodily harm,268
2017,Attempted murder,76
2017,Attempted sexual offences,4
2017,Bank robbery,0
2017,Burglary at non-residential premises,171
2017,Burglary at residential premises,916
2017,Carjacking,0
2017,Commercial crime,116
2017,Common assault,392
2017,Common robbery,76
2017,Contact sexual offences,2
2017,Crimen Injuria,65
2017,Culpable homicide,4
2017,Driving under the influence of alcohol or drugs,105
2017,Drug-related crime,528
2017,Illegal possession of firearms and ammunition,6
2017,Kidnapping,7
