year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,108
2024,Attempted murder,2
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,6
2024,Burglary at residential premises,171
2024,Carjacking,1
2024,Commercial crime,128
2024,Common assault,110
2024,Common robbery,15
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,20
2024,Drug-related crime,176
2024,Illegal possession of firearms and ammunition,4
2024,Kidnapping,1
2024,Malicious damage to property,84
2024,Murder,7
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,11
2024,Robbery at non-residential premises,12
2024,Robbery at residential premises,4
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,25
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,2
2024,Shoplifting,4
2024,Stock-theft,0
2024,Street Robbery,17
2024,TRIO crimes,17
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,45
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,107
2023,Attempted murder,5
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,8
2023,Burglary at residential premises,167
2023,Carjacking,0
2023,Commercial crime,113
2023,Common assault,91
2023,Common robbery,8
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,13
2023,Drug-related crime,114
2023,Illegal possession of firearms and ammunition,4
2023,Kidnapping,0
2023,Malicious damage to property,65
2023,Murder,2
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,10
2023,Robbery at non-residential premises,3
2023,Robbery at residential premises,7
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,13
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,5
2023,Shoplifting,0
2023,Stock-theft,0
2023,Street Robbery,3
2023,TRIO crimes,10
2023,Theft of motor vehicle and motorcycle,3
2023,Theft out of or from motor vehicle,58
